year,tp
1958,724.0433027416467
1959,816.7088741928338
1960,752.3378621399403
1961,706.097305764258
1962,758.5419659659266
1963,751.6788092911244
1964,845.2844459295274
1965,665.116303652525
1966,609.9226914465427
1967,684.2767554432153
1968,665.2753081262111
1969,734.1833563238382
1970,727.088263708353
1971,746.6916609376668
1972,891.447384724021
1973,659.265587966144
1974,669.9626905471087
1975,830.1776292875409
1976,913.0929534822702
1977,738.3321565940977
1978,739.9577533870935
1979,703.223559743166
1980,685.3471009552479
1981,652.5789930850267
1982,659.6901686117053
1983,795.8736530423164
1984,868.5566610231996
1985,691.1710212051869
1986,863.5410989180208
1987,735.8650274008512
1988,711.8877821907402
1989,693.6991012662648
1990,787.8396576941013
1991,798.6728486955166
1992,723.7409027665854
1993,773.4932018965483
1994,664.4164857953787
1995,755.9091973915696
1996,916.1275490373373
1997,799.6629501909017
1998,692.1783149704337
1999,817.4780781373381
2000,762.31818279773
2001,819.2811590746045
2002,797.0118922576308
2003,786.3791067287325
2004,822.42965657413
2005,820.096819767356
2006,673.1940825909376
2007,740.1584832906724
2008,834.3421079814434
2009,689.4286067813636
2010,687.4367942407727
2011,684.3899643033743
2012,781.090373685956
2013,784.179596324265
2014,827.3523364499212
2015,744.5383672013879
2016,826.7184591650963
2017,824.972680863738
2018,824.9330585390329
2019,702.1143883213401
2020,683.6086956828833
