 year,P,E,DSS,Rainfall
1980,   0.10585E+03,  -0.23816E+02,  -0.12810E+02,   0.12222E+02
1981,   0.90919E+02,  -0.21882E+02,  -0.11397E+02,   0.12846E+02
1982,   0.10822E+03,  -0.21671E+02,  -0.12982E+02,   0.10305E+02
1983,   0.10932E+03,  -0.20264E+02,  -0.11541E+02,   0.13857E+02
1984,   0.13469E+03,  -0.20926E+02,  -0.14486E+02,   0.18438E+02
1985,   0.11291E+03,  -0.23349E+02,  -0.11023E+02,   0.12385E+02
1986,   0.12603E+03,  -0.23013E+02,  -0.15192E+02,   0.12390E+02
1987,   0.13080E+03,  -0.21523E+02,  -0.11683E+02,   0.17379E+02
1988,   0.11106E+03,  -0.22944E+02,  -0.12251E+02,   0.15738E+02
1989,   0.10362E+03,  -0.21923E+02,  -0.11997E+02,   0.15033E+02
1990,   0.12270E+03,  -0.21640E+02,  -0.12374E+02,   0.17264E+02
1991,   0.12159E+03,  -0.21863E+02,  -0.12729E+02,   0.13690E+02
1992,   0.12243E+03,  -0.22383E+02,  -0.14974E+02,   0.99175E+01
1993,   0.11660E+03,  -0.20722E+02,  -0.14269E+02,   0.14874E+02
1994,   0.10284E+03,  -0.22566E+02,  -0.13715E+02,   0.13146E+02
1995,   0.10096E+03,  -0.23317E+02,  -0.11071E+02,   0.16785E+02
1996,   0.13478E+03,  -0.24559E+02,  -0.13690E+02,   0.18969E+02
1997,   0.11759E+03,  -0.23119E+02,  -0.13751E+02,   0.18435E+02
1998,   0.10808E+03,  -0.22537E+02,  -0.12919E+02,   0.16104E+02
1999,   0.11761E+03,  -0.21968E+02,  -0.13090E+02,   0.15156E+02
2000,   0.10617E+03,  -0.22865E+02,  -0.11470E+02,   0.17283E+02
2001,   0.11936E+03,  -0.22558E+02,  -0.10427E+02,   0.18235E+02
2002,   0.13269E+03,  -0.22602E+02,  -0.12306E+02,   0.25943E+02
2003,   0.13181E+03,  -0.22966E+02,  -0.12352E+02,   0.26495E+02
2004,   0.11547E+03,  -0.22991E+02,  -0.11393E+02,   0.20802E+02
2005,   0.12379E+03,  -0.23075E+02,  -0.12764E+02,   0.23037E+02
2006,   0.10599E+03,  -0.22703E+02,  -0.10409E+02,   0.17218E+02
2007,   0.12195E+03,  -0.21754E+02,  -0.14588E+02,   0.17370E+02
2008,   0.13125E+03,  -0.21740E+02,  -0.13849E+02,   0.21625E+02
2009,   0.11140E+03,  -0.22468E+02,  -0.11107E+02,   0.15284E+02
2010,   0.11039E+03,  -0.23395E+02,  -0.78987E+01,   0.32152E+02
2011,   0.10742E+03,  -0.21524E+02,  -0.12798E+02,   0.14182E+02
2012,   0.11165E+03,  -0.22301E+02,  -0.11904E+02,   0.19732E+02
2013,   0.12063E+03,  -0.22733E+02,  -0.13267E+02,   0.14495E+02
2014,   0.13140E+03,  -0.22904E+02,  -0.14477E+02,   0.18499E+02
2015,   0.11218E+03,  -0.21380E+02,  -0.13994E+02,   0.12946E+02
2016,   0.12871E+03,  -0.24412E+02,  -0.13815E+02,   0.33547E+02
2017,   0.12109E+03,  -0.23385E+02,  -0.12337E+02,   0.18373E+02
2018,   0.12651E+03,  -0.21988E+02,  -0.14038E+02,   0.15444E+02
2019,   0.11551E+03,  -0.23581E+02,  -0.11559E+02,   0.15502E+02
2020,   0.11854E+03,  -0.22227E+02,  -0.14275E+02,   0.18530E+02
